You come across a crossroad in the forest. One road leads towards home; one road leads towards adventure.,Home,Adventure,Go between,0,2,1,-1,-1,-2,-1,0,2,0,0,0,0,0,4
You are handed an eyeball - you know who it belongs to. If you take it - you will be able to see the the 4th colour.,Take it,Return it,What do you mean 4th colour?,2,-1,0,0,0,0,0,0,0,0,0,2,0,-3,1
In a world without spring which season would be your favourite?,Summer,Autumn,Winter,-1,-1,0,0,0,0,1,0,1,1,2,0,0,0,1
You can be provided the keys to be a pioneer in a specific field. Which do you choose?,Philosipher,Scientist,Artist,0,0,0,0,3,0,0,3,0,0,0,3,0,-1,0
You feel a mysterious hand on your shoulder.  You know it is a monsterous prescence. What do you do?,Face the monster,Run away,Melt into the living room floor,-4,0,3,0,0,2,1,-3,0,0,2,2,-4,-1,2
You are trapped in a coffin. Which animal would you transform into to escape?,Mouse,Giraffe,Dolphin,0,1,-2,-3,0,0,1,1,1,1,-1,-3,-2,-4,1
You are sailing out to sea to venture to uncharted territory. What do you head for on the horizon?,Island,Cyclone,Cyclops,1,0,0,0,-3,0,-2,0,0,-2,-1,-3,1,-3,-2
Do you find that your sleep is often filled more with dreams or nightmares?,Dreams,Nightmares,...I don't sleep.,0,1,0,-2,0,0,0,0,2,0,1,2,-2,1,1
You stumble upon an ancient time machine - to where would you travel?,Past,Future,I don't trust this.,0,1,1,0,1,1,1,-1,1,1,-1,0,-1,-4,-1
Coffee? Tea? Hot chocolate?,Coffee,Tea,Hot Chocolate,2,2,0,0,-1,0,1,0,2,-1,0,-2,0,0,1
